,clashscore,rama_favored_pct,rama_outliers_pct,rotamer_outliers_pct,cbeta_deviations,bond_rmsz,angle_rmsz,molprobity_score,omega_cis_proline,omega_twisted,atom_count,n_bonds,n_angles
clashscore,1.0,-0.08088658728627202,0.1395826937194741,0.14230847725925355,-0.11121484720102855,-0.20893616456566438,0.1361359636733955,0.9748122207603538,0.20193331901591993,-0.04636494866251145,0.06773305835219351,-0.03593705987192718,-0.09963397373077248
rama_favored_pct,-0.08088658728627202,1.0,-0.6518357035872283,-0.17019171495250343,-0.1048630901211208,0.022954034631857773,-0.3502465628471729,-0.11946193833719909,0.23820209421321956,-0.3521426404856537,-0.025811012366138787,-0.024365716694176205,-0.02832395915686679
rama_outliers_pct,0.1395826937194741,-0.6518357035872283,1.0,0.19724319388849434,0.12873384131089086,-0.1625495106570135,0.382830605809211,0.1803927810337204,-0.2717583348924951,0.3477933261276006,0.13664791719096983,0.05583471747116266,0.035215473495062564
rotamer_outliers_pct,0.14230847725925355,-0.17019171495250343,0.19724319388849434,1.0,-0.0315997602736338,-0.3357599224562592,0.09367721463757168,0.20689302600298382,0.14718284035748436,0.1533135367387362,-0.07030033015449483,-0.2263424460069331,-0.3072459248355944
cbeta_deviations,-0.11121484720102855,-0.1048630901211208,0.12873384131089086,-0.0315997602736338,1.0,0.098175574919131,0.18896194553852366,-0.09092348987039829,-0.10234964065672654,0.1974040475983489,0.027679783656759844,0.0683436995485837,0.09578462453122048
bond_rmsz,-0.20893616456566438,0.022954034631857773,-0.1625495106570135,-0.3357599224562592,0.098175574919131,1.0,-0.049966685365167414,-0.2514087297776469,-0.08799915931684013,-0.14420438531265636,0.12110999306710687,0.31409291160819025,0.40117553084055035
angle_rmsz,0.1361359636733955,-0.3502465628471729,0.382830605809211,0.09367721463757168,0.18896194553852366,-0.049966685365167414,1.0,0.17109555184634262,-0.03188928413583406,0.3104328313879035,-0.061445947405506574,-0.041395977156230314,-0.04006009172026779
molprobity_score,0.9748122207603538,-0.11946193833719909,0.1803927810337204,0.20689302600298382,-0.09092348987039829,-0.2514087297776469,0.17109555184634262,1.0,0.19661824045951684,-0.03829102174116891,0.05210164246866686,-0.0647502248337685,-0.13270651314324677
omega_cis_proline,0.20193331901591993,0.23820209421321956,-0.2717583348924951,0.14718284035748436,-0.10234964065672654,-0.08799915931684013,-0.03188928413583406,0.19661824045951684,1.0,-0.1434395308753811,0.046898113804671036,0.001224414535032803,-0.017686083105971924
omega_twisted,-0.04636494866251145,-0.3521426404856537,0.3477933261276006,0.1533135367387362,0.1974040475983489,-0.14420438531265636,0.3104328313879035,-0.03829102174116891,-0.1434395308753811,1.0,-0.005664534752065661,-0.02453437564659429,-0.028207243965516403
atom_count,0.06773305835219351,-0.025811012366138787,0.13664791719096983,-0.07030033015449483,0.027679783656759844,0.12110999306710687,-0.061445947405506574,0.05210164246866686,0.046898113804671036,-0.005664534752065661,1.0,0.9358507437543748,0.8802788238824815
n_bonds,-0.03593705987192718,-0.024365716694176205,0.05583471747116266,-0.2263424460069331,0.0683436995485837,0.31409291160819025,-0.041395977156230314,-0.0647502248337685,0.001224414535032803,-0.02453437564659429,0.9358507437543748,1.0,0.9849763647101886
n_angles,-0.09963397373077248,-0.02832395915686679,0.035215473495062564,-0.3072459248355944,0.09578462453122048,0.40117553084055035,-0.04006009172026779,-0.13270651314324677,-0.017686083105971924,-0.028207243965516403,0.8802788238824815,0.9849763647101886,1.0
